index,question,classification,intent,sentence_length,num_arabic_stopwords,repeated_words,num_special_chars,num_repeated_words
30,أرغب معرفة سعر هاتف سامسونج جالكسي s24 ألترا باللون الأسود وبسعة 512 جيجابايت,complex,ask_price,14,1,{},1,0
31,سعر لابتوب ماك بوك برو m3 شاشة 16 بوصة وهل خصومات,complex,ask_price,14,3,{},1,0
32,سعر جاكيت جلد رجالي مقاس l وهل يوجد ألوان أخرى البني,complex,ask_price,15,4,{},1,0
33,حذاء رياضي أبيض بوما مقاس 43 وهل يشمل الضريبة,complex,ask_price,11,2,{},1,0
34,سعر فرن كهربائي بوش سعة 70 لتر وهل يوجد عرض خاص,complex,ask_price,14,3,{},1,0
35,سعر لعبة سايبربانك 2077 لجهاز بلاي ستيشن 5 وهل تأتي معها إضافة phantom liberty,complex,ask_price,16,2,{},1,0
36,شاشة منحنية سامسونج 27 بوصة وهل سعرها يشمل التوصيل والتركيب,complex,ask_price,12,2,{},1,0
37,سعر كاميرا نيكون d7500 وهل يمكنني الحصول عدسة إضافية معها بسعر مخفض,complex,ask_price,14,2,{},1,0
38,سعر سماعة جيه إل فليب 6 وهل مقاومة للماء,complex,ask_price,13,4,{},1,0
39,سعر جهاز التلفزيون الذكي سوني برافيا حجم 65 بوصة وهل يدعم تقنية 4k,complex,ask_price,15,2,{},1,0
40,مقارنة آيفون 15 برو وسامسونج جالكسي s24 ألترا,simple,compare_products,9,1,{},1,0
41,قارن لابتوب ديل xps 13 ولابتوب ماك بوك إير m2,simple,compare_products,11,1,{},1,0
42,أيهما أفضل فستان سهرة أحمر أزرق,simple,compare_products,7,1,{},2,0
43,أيهما أنسب للجري حذاء نايكي أديداس,simple,compare_products,7,1,{},2,0
44,مقارنة غسالة إل جي وغسالة سامسونج,simple,compare_products,7,1,{},1,0
45,أيهما أفضل بلاي ستيشن 5 إكس بوكس سيريس x,simple,compare_products,10,1,{},2,0
46,قارن ساعة أبل واتش 9 وساعة هواوي جي 4,simple,compare_products,12,2,{'واتش': 2},1,1
47,أيهما أفضل تلفزيون سامسونج qled lg oled,simple,compare_products,8,1,{},2,0
48,قارن سماعات سوني wh1000xm5 وبوز quietcomfort ultra,simple,compare_products,8,1,{},2,0
49,أيهما أفضل تابلت سامسونج جالكسي تاب s9 ألترا أبل آيباد برو m2,simple,compare_products,13,1,{},2,0
50,أريد مقارنة تفصيلية هاتف شاومي 14 ألترا وهاتف سامسونج جالكسي s24 أداء الكاميرا والبطارية,complex,compare_products,18,3,{'ألترا': 2},1,1
51,الفروقات الرئيسية لابتوب لينوفو ليجن 7 ولابتوب أسوس rog سيفيروس g14 لألعاب الفيديو,complex,compare_products,16,3,{},1,0
52,قارن فستان زفاف أبيض الدانتيل وفستان الساتان أيهما فخامة,complex,compare_products,15,4,"{'زفاف': 2, 'أبيض': 2, 'من': 2}",2,3
53,مميزات وعيوب غسالة صحون بوش مقارنة بغسالة ويرلبول,complex,compare_products,13,4,"{'صحون': 2, 'من': 2}",1,2
54,أريد مقارنة حذاء رياضي للجري هوكا ون أون وحذاء أندر آرمور أيهما أفضل للتحمل,complex,compare_products,19,3,"{'رياضي': 2, 'للجري': 2, 'من': 2}",2,3
55,مقارنة كاميرا سوني ألفا 7 iii ونيكون z6 ii جودة الصورة والفيديو,complex,compare_products,15,3,{},1,0
56,يمكنكم مقارنة شاشة الألعاب أسوس rog سويفت pg279q وشاشة lg 27gl850 زمن الاستجابة ومعدل التحديث,complex,compare_products,19,4,{},1,0
57,أيهما يقدم تجربة صوتية أفضل سماعات بوز quietcomfort 35 ii سوني whch720n,complex,compare_products,14,1,{'سماعات': 2},3,1
58,أريد مقارنة أجهزة تتبع اللياقة البدنية فيتبيت تشارج 6 وجارمن فيفوفت 5 دقة التتبع وعمر البطارية,complex,compare_products,19,3,{},1,0
59,يمكنني الحصول مقارنة ثلاجة سامسونج بابين وثلاجة إل جي استهلاك الطاقة والمساحة الداخلية,complex,compare_products,19,5,{'بابين': 2},1,1
60,طلبي رقم 12345,simple,ask_about_order,4,1,{},1,0
61,حالة الطلب 67890,simple,ask_about_order,5,2,{},1,0
62,تم شحن طلبي برقم ord54321,simple,ask_about_order,6,1,{},2,0
63,سيصل الطلب 98765,simple,ask_about_order,4,1,{},2,0
64,أريد معلومات طلبي الأخير,simple,ask_about_order,5,1,{},1,0
65,لقد طلبت هاتف آيفون وضعه,simple,ask_about_order,7,2,{},2,0
66,تتبع طلبي رقم 112233,simple,ask_about_order,4,0,{},1,0
67,استفسار طلب قمت يوم الثلاثاء,simple,ask_about_order,7,2,{},1,0
68,وصل لابتوبي طلبته,simple,ask_about_order,5,2,{},1,0
69,أريد معرفة تفاصيل الطلب رقم 445566,simple,ask_about_order,6,0,{},1,0
70,أريد تتبع طلبي رقم 78901 يحتوي حذاء رياضي أديداس ومتى يتوقع وصوله,complex,ask_about_order,15,3,{},2,0
71,حالة طلبي رقم 23456 يتضمن غسالة ملابس وهل توجد مشاكل الشحن,complex,ask_about_order,16,5,{},2,0
72,لقد طلبت لعبة بلاي ستيشن 5 برقم الطلب gam1234 يمكنني تغيير عنوان الشحن,complex,ask_about_order,14,1,{},3,0
73,أريد الاستفسار طلبي رقم 56789 يحتوي ساعة ذكية تم إرساله بالفعل,complex,ask_about_order,18,7,{},2,0
74,يمكنني الحصول فاتورة الطلب رقم 90123 يشمل تيشيرتات رجالية,complex,ask_about_order,12,3,{},1,0
75,لقد قمت بطلب لابتوب ديل xps 15 برقم 334455 يمكنني معرفة وقت التسليم المتوقع,complex,ask_about_order,15,1,{},2,0
76,أريد معرفة تفاصيل الشحن لطلبي رقم 667788 يتضمن ثلاجة بوش,complex,ask_about_order,12,2,{},1,0
77,لقد طلبت كاميرا eos 2000d برقم 778899 يمكنني إضافة منتج آخر الطلب,complex,ask_about_order,16,4,{},2,0
78,أريد تتبع شحنة طلبي رقم 101010 يضم سماعات سوني كانت ستصل نهاية الأسبوع,complex,ask_about_order,17,4,{},2,0
79,حالة طلبي رقم 202020 يشمل شاشة تلفزيون سامسونج وهل يوجد تأخير التسليم,complex,ask_about_order,16,4,{},2,0
80,يوجد شحن مجاني,simple,ask_shipping,4,1,{},1,0
81,تكلفة الشحن الرياض,simple,ask_shipping,6,3,{},1,0
82,يستغرق الشحن للملابس,simple,ask_shipping,4,1,{},1,0
83,تشحنون دوليا,simple,ask_shipping,3,1,{},2,0
84,شركات الشحن المتعامل معها,simple,ask_shipping,6,2,{},1,0
85,يصل المنتج طلبته,simple,ask_shipping,5,2,{},1,0
86,الشحن سريع,simple,ask_shipping,3,1,{},1,0
87,يوم يستغرق شحن هاتف آيفون 15,simple,ask_shipping,7,1,{},1,0
88,خيارات الشحن المتاحة,simple,ask_shipping,5,2,{},1,0
89,يمكن توصيل غسالة ملابس الطابق الثالث,simple,ask_shipping,8,2,{},1,0
90,أريد معرفة تكلفة الشحن لابتوب ديل xps 13 جدة وهل يوجد شحن سريع,complex,ask_shipping,14,1,{},2,0
91,المدة المتوقعة لوصول فستان سهرة أحمر مقاس m الدمام وهل يمكنني اختيار شركة شحن معينة,complex,ask_shipping,18,3,{},2,0
92,يتوفر شحن مجاني لأجهزة التلفزيون الكبيرة سامسونج 65 بوصة إجراءات التركيب,complex,ask_shipping,15,4,{},2,0
93,يستغرق شحن حذاء رياضي نايكي مقاس 42 الكويت وهل رسوم جمركية إضافية,complex,ask_shipping,15,3,{},1,0
94,أريد معرفة تفاصيل الشحن لأجهزة الألعاب بلاي ستيشن 5 وهل يتم التأمين الشحنة,complex,ask_shipping,15,2,{},2,0
95,سياسة الشحن لأجهزة المطبخ الكبيرة الثلاجات إل جي وهل يشمل التوصيل للمنزل,complex,ask_shipping,16,4,{},2,0
96,يمكنني تحديد موعد محدد لاستلام شحنة اكسسوارات موبايل وهل رسوم إضافية لذلك,complex,ask_shipping,14,2,{},2,0
97,أريد معرفة تكلفة الشحن والمدة المتوقعة لسماعات الرأس بوز quietcomfort ultra الإمارات,complex,ask_shipping,13,1,{},1,0
98,سياسة الشحن للمنتجات الهشة الكاميرات الاحترافية وهل تتوفر خدمة التوصيل الخاص,complex,ask_shipping,16,4,{},2,0
99,يمكنني تجميع عدة طلبات شحنة واحدة لتوفير تكاليف الشحن كانت تحتوي ساعات ذكية وملابس,complex,ask_shipping,19,5,{},2,0
100,سياسة الإرجاع,simple,ask_return,4,2,{},1,0
101,يمكنني إرجاع هاتف آيفون 15,simple,ask_return,6,1,{},1,0
102,مدة السماح بالاسترجاع,simple,ask_return,4,1,{},1,0
103,يمكنني استبدال فستان بمقاس آخر,simple,ask_return,6,1,{},1,0
104,أرجع المنتج,simple,ask_return,3,1,{},1,0
105,استرداد الأموال متاح,simple,ask_return,4,1,{},1,0
106,يمكن إرجاع الأجهزة المنزلية,simple,ask_return,5,1,{},1,0
107,يمكنني إرجاع لعبة بلاي ستيشن تعجبني,simple,ask_return,9,3,{},1,0
108,شروط الإرجاع لـ حذاء رياضي,simple,ask_return,7,2,{},1,0
109,يمكنني إرجاع سماعة أذن لاسلكية,simple,ask_return,6,1,{},1,0
110,أرغب معرفة سياسة الاسترجاع الخاصة بلابتوب ماك بوك برو m3 اشتريته وهل يمكنني استرداد أموالي بالكامل,complex,ask_return,18,2,{},2,0
111,يمكنني إرجاع فستان سهرة بلون أسود مقاس s يناسبني المدة المتاحة للإرجاع,complex,ask_return,17,5,{},2,0
112,شروط إرجاع غسالة صحون بوش تركيبها وهل يتحمل العميل تكلفة الشحن للإرجاع,complex,ask_return,16,4,{},2,0
113,يمكنني استبدال حذاء رياضي أديداس مقاس 42 بحذاء آخر بمقاس 43 الإجراءات المطلوبة لذلك,complex,ask_return,18,4,{},2,0
114,سياسة إرجاع الأجهزة الإلكترونية كاميرا سوني ألفا 7 iii تم فتح الصندوق يتم استخدامها,complex,ask_return,20,6,{},1,0
115,يمكنني إرجاع لعبة بلاي ستيشن 5 كانت مغلفة تتوافق جهازي رسوم الإرجاع,complex,ask_return,19,7,{},2,0
116,أريد معرفة سياسة الاستبدال الخاصة بالساعات الذكية هواوي واتش جي 4 عيب مصنعي,complex,ask_return,18,5,{},1,0
117,شروط إرجاع سماعة رأس سوني wh1000xm5 أكن راضيا جودة الصوت,complex,ask_return,16,6,{},3,0
118,يمكن إرجاع تيشيرت رجالي مقاس l غسله مرة واحدة الإجراءات لاسترداد المبلغ,complex,ask_return,16,4,{},2,0
119,أريد استبدال جهاز التلفزيون الذكي إل جي 55 بوصة بآخر أكبر حجما ممكن الرسوم,complex,ask_return,19,5,{},3,0
120,هاتف سامسونج جالكسي s24 ألترا ضمان,simple,ask_warranty,8,2,{},1,0
121,مدة ضمان لابتوب ديل xps 15,simple,ask_warranty,7,1,{},1,0
122,شروط ضمان غسالة إل جي,simple,ask_warranty,7,2,{},1,0
123,ضمان الأجهزة الإلكترونية يشمل سوء الاستخدام,simple,ask_warranty,7,1,{},1,0
124,يوجد ضمان ألعاب بلاي ستيشن,simple,ask_warranty,7,2,{},1,0
125,خدمة البيع لساعات هواوي الذكية,simple,ask_warranty,9,4,{'ما': 2},1,1
126,يشمل الضمان استبدال الشاحن اللاسلكي,simple,ask_warranty,6,1,{},1,0
127,أريد معرفة تفاصيل الضمان الخاص بكاميرا eos 2000d,simple,ask_warranty,9,1,{},1,0
128,فترة الضمان سماعات أبل ايربودز برو,simple,ask_warranty,9,3,{},1,0
129,المنتجات المعروضة كلها عليها ضمان,simple,ask_warranty,6,1,{},1,0
130,فترة الضمان هاتف شاومي 14 ألترا وهل يشمل الشاشة حال الكسر العرضي,complex,ask_warranty,17,4,{'الضمان': 2},1,1
131,أريد معرفة شروط الضمان الخاصة بلابتوب أسوس rog سيفيروس g14 وهل يشمل خدمة الصيانة المنزل,complex,ask_warranty,16,1,{},1,0
132,يوجد ضمان الأجهزة المنزلية الكبيرة ثلاجة سامسونج بابين مدة الضمان الضاغط,complex,ask_warranty,17,6,{'على': 2},2,1
133,سياسة الضمان التلفزيونات الذكية إل جي 65 بوصة وهل يشمل عيوب التصنيع فقط,complex,ask_warranty,18,4,{'الضمان': 2},2,1
134,حذاء رياضي نايكي إير ماكس يأتي بضمان ضد عيوب التصنيع وكم مدة الضمان,complex,ask_warranty,15,2,{},2,0
135,أريد معرفة تفاصيل الضمان سماعات الرأس سوني wh1000xm5 وهل يمكنني الحصول خدمة إصلاح مجانية خلال فترة,complex,ask_warranty,19,2,{'على': 2},2,1
136,شروط الضمان أجهزة الألعاب نينتندو سويتش وهل يشمل وحدات التحكم,complex,ask_warranty,15,4,{'الضمان': 2},1,1
137,كاميرا جوبرو هيرو 12 تأتي بضمان ضد الماء مدة الضمان البطارية,complex,ask_warranty,15,4,{},2,0
138,أريد معرفة سياسة الضمان الساعات الذكية فيتبيت تشارج 6 وهل يشمل المستشعرات الداخلية,complex,ask_warranty,15,1,{'الضمان': 2},1,1
139,شروط الضمان أجهزة الراوتر لينك وهل يشمل تحديثات البرامج الثابتة,complex,ask_warranty,17,6,{'الضمان': 2},1,1
140,هاتف آيفون 15 متوفر باللون الأزرق,simple,product_availability,7,1,{},1,0
141,لابتوب ديل xps 13 متوفر حاليا,simple,product_availability,7,1,{},2,0
142,يوجد فستان سهرة مقاس l,simple,product_availability,6,1,{},1,0
143,حذاء نايكي إير ماكس متوفر بمقاس 42,simple,product_availability,8,1,{},1,0
144,غسالة إل جي 8 كيلو متوفرة,simple,product_availability,7,1,{},1,0
145,لعبة فيفا 24 متوفرة لجهاز بلاي ستيشن 5,simple,product_availability,9,1,{},1,0
146,ساعة هواوي واتش جي 4 متوفرة,simple,product_availability,9,2,{},1,0
147,ستتوفر سماعة ايربودز برو الجيل الثاني,simple,product_availability,7,1,{},1,0
148,كاميرا eos 2000d متوفرة للشراء,simple,product_availability,7,2,{},1,0
149,شاشة سامسونج 55 بوصة متوفرة المخزون,simple,product_availability,8,2,{},1,0
150,أرغب معرفة هاتف سامسونج جالكسي s24 ألترا متوفرا باللون الأخضر وبسعة 512 جيجابايت,complex,product_availability,17,4,{},2,0
151,لابتوب ماك بوك برو m3 بشاشة 16 بوصة متوفر الألوان وكم المدة المتوقعة لإعادة التخزين,complex,product_availability,22,6,{},2,0
152,فستان سهرة طويل بلون فضي ومقاس m متوفر حاليا وهل يمكن حجزه مسبقا,complex,product_availability,18,4,{},4,0
153,أريد أعرف حذاء رياضي بوما للجري باللون الأسود ومقاس 43 متوفرا المتجر عبر الإنترنت فقط,complex,product_availability,22,7,{},2,0
154,فرن كهربائي بوش سعة 70 لتر متوفر الفروع وهل يمكنني معاينته الشراء,complex,product_availability,17,5,{},2,0
155,لعبة ريزدنت إيفل 4 ريميك متوفرة لجهاز إكس بوكس سيريس x ومتى يتوقع توفرها كانت,complex,product_availability,19,3,{},2,0
156,أريد معرفة توفر شاشة منحنية سامسونج 27 بوصة وهل يوجد نموذج بلون أبيض,complex,product_availability,15,2,{},2,0
157,كاميرا نيكون z6 ii متوفرة عدسة وهل يمكنني شراء حزمة كاملة,complex,product_availability,15,2,{},2,0
158,سماعة جيه إل فليب 6 متوفرة باللون الأحمر وهل توجد عروض شرائها بكميات,complex,product_availability,17,4,{},2,0
159,أريد أعرف جهاز التلفزيون الذكي سوني برافيا 65 بوصة متوفرا للتسليم الفوري يحتاج طلب مسبق,complex,product_availability,22,7,{},2,0
160,مواصفات هاتف آيفون 15 برو ماكس,simple,product_specifications,8,2,{},1,0
161,أريد تفاصيل لابتوب ديل xps 15,simple,product_specifications,7,1,{},1,0
162,خامات فستان السهرة الأحمر,simple,product_specifications,6,2,{},1,0
163,مميزات حذاء نايكي إير ماكس,simple,product_specifications,7,2,{},1,0
164,أريد معرفة مواصفات غسالة إل جي 8 كيلو,simple,product_specifications,8,0,{},1,0
165,متطلبات تشغيل لعبة فيفا 24,simple,product_specifications,7,2,{},1,0
166,مواصفات ساعة هواوي واتش جي 4,simple,product_specifications,9,3,{},1,0
167,أريد معرفة دقة كاميرا eos 2000d,simple,product_specifications,7,1,{},1,0
168,أبعاد شاشة سامسونج 55 بوصة,simple,product_specifications,7,2,{},1,0
169,سعة بطارية سماعة ايربودز برو الجيل الثاني,simple,product_specifications,9,2,{},1,0
170,أرغب معرفة المواصفات الكاملة لهاتف سامسونج جالكسي s24 ألترا نوع المعالج وحجم الذاكرة العشوائية ومواصفات الكاميرا الخلفية والأمامية,complex,product_specifications,22,4,{'في': 2},2,1
171,المواصفات التقنية للابتوب ماك بوك برو m3 بشاشة 16 بوصة خصوصا نوع المعالج وكرت الشاشة وسعة التخزين,complex,product_specifications,19,2,{},3,0
172,أريد تفاصيل فستان سهرة طويل بلون فضي نوع القماش والمقاسات المتوفرة وطريقة العناية,complex,product_specifications,16,2,{},2,0
173,المواصفات الفنية لغسالة صحون بوش عدد البرامج واستهلاك المياه ومستوى الضوضاء,complex,product_specifications,16,5,{},2,0
174,أريد معرفة مميزات حذاء رياضي بوما للجري باللون الأسود تقنية التوسيد ونوع النعل الخارجي,complex,product_specifications,16,2,{},2,0
175,المواصفات التقنية لكاميرا سوني ألفا 7 iii عدد الميجابكسل وميزات تصوير الفيديو وقدرات التركيز التلقائي,complex,product_specifications,20,5,{},2,0
176,أريد تفاصيل شاشة الألعاب أسوس rog سويفت pg279q حجم الشاشة ومعدل التحديث وزمن الاستجابة ونوع اللوحة,complex,product_specifications,18,2,{},2,0
177,المواصفات الكاملة لسماعات بوز quietcomfort ultra تقنية إلغاء الضوضاء وعمر البطارية ونوع الاتصال,complex,product_specifications,18,5,{},2,0
178,أريد معرفة المواصفات الفنية لجهاز تتبع اللياقة البدنية فيتبيت تشارج 6 دقة نبضات القلب وميزات النوم ومقاومة الماء,complex,product_specifications,21,1,{'تتبع': 3},2,1
179,المواصفات التقنية لثلاجة إل جي بابين سعة التخزين ونظام التبريد وميزات توفير الطاقة,complex,product_specifications,18,5,{},2,0
180,المتجر مفتوح,simple,others,4,1,{},1,0
181,ساعات عملكم,simple,others,4,2,{},1,0
182,أريد التواصل خدمة العملاء,simple,others,5,1,{},1,0
183,طرق الدفع المتاحة,simple,others,5,2,{},1,0
184,لديكم فروع أخرى,simple,others,4,1,{},1,0
185,يمكنني إنشاء حساب جديد,simple,others,5,1,{},1,0
186,أجد سياسة الخصوصية,simple,others,4,1,{},1,0
187,يمكنني إلغاء اشتراكي الرسائل البريدية,simple,others,7,2,{},1,0
188,يوجد تطبيق للمتجر,simple,others,4,1,{},1,0
189,أريد تغيير كلمة المرور الخاصة,simple,others,6,0,{},1,0
190,ساعات عمل المتجر خلال شهر رمضان المبارك وهل تختلف الأيام العادية,complex,others,14,3,{},2,0
191,أريد معرفة طرق الدفع المتاحة عبر الإنترنت وهل يمكنني بالتقسيط لمنتجات معينة الهواتف اللابتوبات,complex,others,18,3,{'الدفع': 2},2,1
192,لديكم فروع مدن أخرى الرياض أقرب المنطقة الغربية,complex,others,16,7,"{'فروع': 2, 'في': 2}",2,2
193,أرغب التواصل قسم الشكاوى بخصوص مشكلة واجهتني عملية شراء جهاز تلفزيون الرقم المباشر,complex,others,18,5,{'في': 2},2,1
194,يمكنني الاشتراك النشرة البريدية للحصول آخر العروض والخصومات أجهزة الألعاب والملابس,complex,others,15,4,{'على': 2},1,1
195,يمكنني تعديل معلومات حسابي الشخصي عنوان الشحن ورقم الهاتف الخطوات اللازمة لذلك,complex,others,16,4,{},2,0
196,سياسة حماية البيانات والخصوصية لديكم وهل بياناتي الشخصية آمنة التسوق موقعكم,complex,others,15,4,{},2,0
197,أريد معرفة كيفية تقديم شكوى اقتراح لتحسين تجربة التسوق المتجر وهل يوجد قسم خاص لذلك,complex,others,17,2,{},2,0
198,تتوفر خدمة التوصيل والتركيب للمنتجات الكبيرة الثلاجات والغسالات مناطق المملكة,complex,others,14,4,{},1,0
199,الخطوات يجب اتباعها نسيت كلمة المرور الخاصة بحسابي وكيف يمكنني استعادتها,complex,others,15,4,{},1,0
200,أرغب البحث هاتف شاومي ريدمي نوت 13 برو باللون الأسود,simple,search_product,12,2,{},1,0
201,دوري لابتوبات لينوفو يوجا,simple,search_product,5,1,{},1,0
202,أريد فساتين نسائية صيفية,simple,search_product,4,0,{},1,0
203,ابغى أحذية كاجوال رجالية,simple,search_product,4,0,{},1,0
204,اعرض مكيفات سبليت جري,simple,search_product,6,2,{},1,0
205,فين ألاقي ألعاب نينتندو سويتش,simple,search_product,5,0,{},1,0
206,أبحث باور بانك سعة كبيرة,simple,search_product,6,1,{},1,0
207,لديكم طابعات إتش ليزر,simple,search_product,6,2,{},1,0
208,أريد البحث كاميرات مراقبة منزلية,simple,search_product,6,1,{},1,0
209,اعرض ساعات كاسيو رجالية,simple,search_product,5,1,{},1,0
210,أرغب البحث هاتف جوجل بيكسل 8 برو باللون البيج وبسعة 128 جيجابايت,complex,search_product,14,2,{},1,0
211,يمكنني العثور لابتوب للمصممين ماركة مايكروسوفت سيرفس بمعالج i7 وذاكرة 16 جيجابايت,complex,search_product,15,3,{},1,0
212,أبحث بلوزة نسائية أنيقة بلون أزرق فاتح ومقاس m مناسبة للمناسبات الرسمية,complex,search_product,13,1,{},1,0
213,أريد حذاء رسمي رجالي تومي هيلفيغر باللون البني الغامق ومقاس 41,complex,search_product,12,1,{},1,0
214,ابغى تلفزيون ذكي سوني برافيا حجم 55 بوصة ويدعم تقنية 4k hdr,complex,search_product,13,1,{},1,0
215,دوري سماعات أذن لاسلكية جيه إل تكون مناسبة للرياضة ومقاومة للعرق,complex,search_product,15,4,{},2,0
216,لديكم ألعاب استراتيجية لجهاز الكمبيوتر تناسب اللاعبين المحترفين,complex,search_product,9,1,{},1,0
217,أريد ساعة ذكية سامسونج جالكسي واتش 6 تدعم تقنية esim ومقاومة للماء,complex,search_product,13,1,{},1,0
218,ابحث مكنسة كهربائية لاسلكية دايسون خفيفة الوزن ومناسبة للأرضيات الصلبة,complex,search_product,12,2,{},2,0
219,أرغب البحث كاميرا مراقبة خارجية إيزفيز تدعم الرؤية الليلية والتخزين السحابي,complex,search_product,14,3,{},1,0
220,سعر هاتف جوجل بيكسل 8 برو 128 جيجابايت,simple,ask_price,9,1,{},1,0
221,بكام لابتوب لينوفو يوجا 9i,simple,ask_price,5,0,{},1,0
222,سعر فستان سهرة ذهبي,simple,ask_price,6,2,{},1,0
223,قيمة حذاء أديداس الترا بوست,simple,ask_price,6,1,{},1,0
224,سعر مكيف جري سبليت 18 وحدة,simple,ask_price,7,1,{},1,0
225,لعبة زيلدا لجهاز سويتش,simple,ask_price,5,1,{},1,0
226,يكلف شاحن أنكر المحمول 20000 مللي أمبير,simple,ask_price,8,1,{},1,0
227,سعر ساعة سامسونج جالكسي واتش 6,simple,ask_price,7,1,{},1,0
228,بكام طابعة إتش ليزر جيت برو m15w,simple,ask_price,8,1,{},1,0
229,سعر كاميرا مراقبة إيزفيز c6n,simple,ask_price,5,0,{},1,0
230,أرغب معرفة سعر هاتف شاومي 14 ألترا باللون الأبيض وبسعة 1 تيرابايت وهل يشمل العرض الخاص,complex,ask_price,17,1,{},1,0
231,سعر لابتوب ديل xps 17 بمعالج i9 وكرت شاشة rtx 4090 وهل خيارات للتقسيط,complex,ask_price,16,2,{},1,0
232,سعر جاكيت نسائي شتوي زارا مقاس xl وهل يوجد ألوان أخرى الرمادي,complex,ask_price,17,5,{},1,0
233,حذاء رياضي أسود ريبوك مقاس 44 وهل سعرها يشمل الشحن الدولي,complex,ask_price,13,2,{},1,0
234,سعر غسالة ومجفف 2 1 سامسونج سعة 10 كيلو وهل يتوفر معها ضمان إضافي,complex,ask_price,17,3,{},1,0
235,سعر لعبة إلدن رينج لجهاز الكمبيوتر وهل يمكن شراء النسخة الذهبية الإضافات,complex,ask_price,16,4,{},1,0
236,شاشة ديل ألترا شارب u2723qe مقاس 27 بوصة وهل سعرها يشمل خدمة المعايرة,complex,ask_price,14,1,{},1,0
237,سعر كاميرا سوني ألفا 7c ii وهل يمكن الحصول حزمة عدسة 2860mm,complex,ask_price,15,3,{},2,0
238,سعر سماعة ايربودز ماكس وهل تتوفر بألوان أخرى الفضي,complex,ask_price,12,3,{},1,0
239,سعر جهاز التلفزيون الذكي إل جي c3 oled 77 بوصة وهل يوجد خصم للعملاء الجدد,complex,ask_price,18,3,{},1,0
240,مقارنة هاتف سامسونج جالكسي z فولد 5 وهاتف جوجل بيكسل,simple,compare_products,12,1,{},1,0
241,قارن لابتوب لينوفو ثينك باد x1 كاربون ولابتوب ديل لاتيتيود 7440,simple,compare_products,12,1,{},1,0
242,أيهما أفضل فستان سهرة طويل قصير,simple,compare_products,7,1,{},2,0
243,أيهما أنسب للمشي حذاء سكيتشرز كروكس,simple,compare_products,7,1,{},2,0
244,مقارنة مكيف جري ومكيف إل جي,simple,compare_products,7,1,{},1,0
245,أيهما أفضل نينتندو سويتش ستيم دك,simple,compare_products,7,1,{},2,0
246,قارن ساعة سامسونج جالكسي واتش 6 وساعة جوجل بيكسل 2,simple,compare_products,12,1,{'واتش': 2},1,1
247,أيهما أفضل تلفزيون سوني برافيا xr سامسونج نيو qled,simple,compare_products,10,1,{},2,0
