index,question,classification,intent,sentence_length,num_arabic_stopwords,repeated_words,num_special_chars,num_repeated_words
45,أيهما أفضل، بلاي ستيشن 5 أم إكس بوكس سيريس X؟,simple,compare_products,10,1,{},2,0
46,قارن بين ساعة أبل واتش 9 وساعة هواوي واتش جي تي 4.,simple,compare_products,12,2,{'واتش': 2},1,1
47,أيهما أفضل، تلفزيون سامسونج QLED أم LG OLED؟,simple,compare_products,8,1,{},2,0
48,قارن بين سماعات سوني WH-1000XM5 وبوز QuietComfort Ultra.,simple,compare_products,8,1,{},2,0
49,أيهما أفضل، تابلت سامسونج جالكسي تاب S9 ألترا أم أبل آيباد برو M2؟,simple,compare_products,13,1,{},2,0
50,أريد مقارنة تفصيلية بين هاتف شاومي 14 ألترا وهاتف سامسونج جالكسي S24 ألترا من حيث أداء الكاميرا والبطارية.,complex,compare_products,18,3,{'ألترا': 2},1,1
51,ما هي الفروقات الرئيسية بين لابتوب لينوفو ليجن 7 ولابتوب أسوس ROG سيفيروس G14 لألعاب الفيديو؟,complex,compare_products,16,3,{},1,0
52,قارن بين فستان زفاف أبيض من الدانتيل وفستان زفاف أبيض من الساتان، أيهما أكثر فخامة؟,complex,compare_products,15,4,"{'زفاف': 2, 'أبيض': 2, 'من': 2}",2,3
53,ما هي مميزات وعيوب غسالة صحون من بوش مقارنة بغسالة صحون من ويرلبول؟,complex,compare_products,13,4,"{'صحون': 2, 'من': 2}",1,2
54,أريد مقارنة بين حذاء رياضي للجري من هوكا ون أون وحذاء رياضي للجري من أندر آرمور، أيهما أفضل للتحمل؟,complex,compare_products,19,3,"{'رياضي': 2, 'للجري': 2, 'من': 2}",2,3
55,مقارنة بين كاميرا سوني ألفا 7 III ونيكون Z6 II من حيث جودة الصورة والفيديو.,complex,compare_products,15,3,{},1,0
56,هل يمكنكم مقارنة بين شاشة الألعاب أسوس ROG سويفت PG279Q وشاشة LG 27GL850 من حيث زمن الاستجابة ومعدل التحديث؟,complex,compare_products,19,4,{},1,0
57,أيهما يقدم تجربة صوتية أفضل، سماعات بوز QuietComfort 35 II أم سماعات سوني WH-CH720N؟,complex,compare_products,14,1,{'سماعات': 2},3,1
58,أريد مقارنة بين أجهزة تتبع اللياقة البدنية فيتبيت تشارج 6 وجارمن فيفوفت 5 من حيث دقة التتبع وعمر البطارية.,complex,compare_products,19,3,{},1,0
59,هل يمكنني الحصول على مقارنة بين ثلاجة سامسونج بابين وثلاجة إل جي بابين من حيث استهلاك الطاقة والمساحة الداخلية؟,complex,compare_products,19,5,{'بابين': 2},1,1
60,أين طلبي رقم 12345؟,simple,ask_about_order,4,1,{},1,0
61,ما هي حالة الطلب 67890؟,simple,ask_about_order,5,2,{},1,0
62,هل تم شحن طلبي برقم ORD-54321؟,simple,ask_about_order,6,1,{},2,0
63,متى سيصل الطلب #98765؟,simple,ask_about_order,4,1,{},2,0
64,أريد معلومات عن طلبي الأخير.,simple,ask_about_order,5,1,{},1,0
65,لقد طلبت هاتف آيفون، ما هو وضعه؟,simple,ask_about_order,7,2,{},2,0
66,تتبع طلبي رقم 112233.,simple,ask_about_order,4,0,{},1,0
67,استفسار عن طلب قمت به يوم الثلاثاء.,simple,ask_about_order,7,2,{},1,0
68,هل وصل لابتوبي الذي طلبته؟,simple,ask_about_order,5,2,{},1,0
69,أريد معرفة تفاصيل الطلب رقم 445566.,simple,ask_about_order,6,0,{},1,0
70,أريد تتبع طلبي رقم 78901 الذي يحتوي على حذاء رياضي من أديداس، ومتى يتوقع وصوله؟,complex,ask_about_order,15,3,{},2,0
71,ما هي حالة طلبي رقم 23456 الذي يتضمن غسالة ملابس، وهل توجد أي مشاكل في الشحن؟,complex,ask_about_order,16,5,{},2,0
72,لقد طلبت لعبة بلاي ستيشن 5 برقم الطلب GAM-1234، هل يمكنني تغيير عنوان الشحن؟,complex,ask_about_order,14,1,{},3,0
73,أريد الاستفسار عن طلبي رقم 56789 الذي يحتوي على ساعة ذكية، وما إذا كان قد تم إرساله بالفعل.,complex,ask_about_order,18,7,{},2,0
74,هل يمكنني الحصول على فاتورة الطلب رقم 90123 والذي يشمل تيشيرتات رجالية؟,complex,ask_about_order,12,3,{},1,0
75,لقد قمت بطلب لابتوب ديل XPS 15 برقم 334455، هل يمكنني معرفة وقت التسليم المتوقع؟,complex,ask_about_order,15,1,{},2,0
76,أريد معرفة تفاصيل الشحن لطلبي رقم 667788 الذي يتضمن ثلاجة من بوش.,complex,ask_about_order,12,2,{},1,0
77,لقد طلبت كاميرا كانون EOS 2000D برقم 778899، هل يمكنني إضافة منتج آخر إلى نفس الطلب؟,complex,ask_about_order,16,4,{},2,0
78,أريد تتبع شحنة طلبي رقم 101010 الذي يضم سماعات سوني، وما إذا كانت ستصل قبل نهاية الأسبوع.,complex,ask_about_order,17,4,{},2,0
79,ما هي حالة طلبي رقم 202020 الذي يشمل شاشة تلفزيون سامسونج، وهل يوجد تأخير في التسليم؟,complex,ask_about_order,16,4,{},2,0
80,هل يوجد شحن مجاني؟,simple,ask_shipping,4,1,{},1,0
81,ما هي تكلفة الشحن إلى الرياض؟,simple,ask_shipping,6,3,{},1,0
82,كم يستغرق الشحن للملابس؟,simple,ask_shipping,4,1,{},1,0
83,هل تشحنون دولياً؟,simple,ask_shipping,3,1,{},2,0
84,ما هي شركات الشحن المتعامل معها؟,simple,ask_shipping,6,2,{},1,0
85,متى يصل المنتج الذي طلبته؟,simple,ask_shipping,5,2,{},1,0
86,هل الشحن سريع؟,simple,ask_shipping,3,1,{},1,0
87,كم يوم يستغرق شحن هاتف آيفون 15؟,simple,ask_shipping,7,1,{},1,0
88,ما هي خيارات الشحن المتاحة؟,simple,ask_shipping,5,2,{},1,0
89,هل يمكن توصيل غسالة ملابس إلى الطابق الثالث؟,simple,ask_shipping,8,2,{},1,0
90,أريد معرفة تكلفة الشحن لابتوب ديل XPS 13 إلى جدة، وهل يوجد شحن سريع؟,complex,ask_shipping,14,1,{},2,0
91,ما هي المدة المتوقعة لوصول فستان سهرة أحمر مقاس M إلى الدمام، وهل يمكنني اختيار شركة شحن معينة؟,complex,ask_shipping,18,3,{},2,0
92,هل يتوفر شحن مجاني لأجهزة التلفزيون الكبيرة مثل سامسونج 65 بوصة، وما هي إجراءات التركيب؟,complex,ask_shipping,15,4,{},2,0
93,كم يستغرق شحن حذاء رياضي نايكي مقاس 42 إلى الكويت وهل هناك رسوم جمركية إضافية؟,complex,ask_shipping,15,3,{},1,0
94,أريد معرفة تفاصيل الشحن لأجهزة الألعاب مثل بلاي ستيشن 5، وهل يتم التأمين على الشحنة؟,complex,ask_shipping,15,2,{},2,0
95,ما هي سياسة الشحن لأجهزة المطبخ الكبيرة مثل الثلاجات من إل جي، وهل يشمل التوصيل للمنزل؟,complex,ask_shipping,16,4,{},2,0
96,هل يمكنني تحديد موعد محدد لاستلام شحنة اكسسوارات موبايل، وهل هناك رسوم إضافية لذلك؟,complex,ask_shipping,14,2,{},2,0
97,أريد معرفة تكلفة الشحن والمدة المتوقعة لسماعات الرأس بوز QuietComfort Ultra إلى الإمارات.,complex,ask_shipping,13,1,{},1,0
98,ما هي سياسة الشحن للمنتجات الهشة مثل الكاميرات الاحترافية من كانون، وهل تتوفر خدمة التوصيل الخاص؟,complex,ask_shipping,16,4,{},2,0
99,هل يمكنني تجميع عدة طلبات في شحنة واحدة لتوفير تكاليف الشحن، خاصة إذا كانت تحتوي على ساعات ذكية وملابس؟,complex,ask_shipping,19,5,{},2,0
100,ما هي سياسة الإرجاع؟,simple,ask_return,4,2,{},1,0
101,هل يمكنني إرجاع هاتف آيفون 15؟,simple,ask_return,6,1,{},1,0
102,كم مدة السماح بالاسترجاع؟,simple,ask_return,4,1,{},1,0
103,هل يمكنني استبدال فستان بمقاس آخر؟,simple,ask_return,6,1,{},1,0
104,كيف أرجع المنتج؟,simple,ask_return,3,1,{},1,0
105,هل استرداد الأموال متاح؟,simple,ask_return,4,1,{},1,0
106,هل يمكن إرجاع الأجهزة المنزلية؟,simple,ask_return,5,1,{},1,0
107,هل يمكنني إرجاع لعبة بلاي ستيشن إذا لم تعجبني؟,simple,ask_return,9,3,{},1,0
108,ما هي شروط الإرجاع لـ حذاء رياضي؟,simple,ask_return,7,2,{},1,0
109,هل يمكنني إرجاع سماعة أذن لاسلكية؟,simple,ask_return,6,1,{},1,0
110,أرغب في معرفة سياسة الاسترجاع الخاصة بلابتوب ماك بوك برو M3 الذي اشتريته، وهل يمكنني استرداد أموالي بالكامل؟,complex,ask_return,18,2,{},2,0
111,هل يمكنني إرجاع فستان سهرة بلون أسود مقاس S إذا لم يناسبني، وما هي المدة المتاحة للإرجاع؟,complex,ask_return,17,5,{},2,0
112,ما هي شروط إرجاع غسالة صحون من بوش بعد تركيبها، وهل يتحمل العميل تكلفة الشحن للإرجاع؟,complex,ask_return,16,4,{},2,0
113,هل يمكنني استبدال حذاء رياضي من أديداس مقاس 42 بحذاء آخر بمقاس 43، وما هي الإجراءات المطلوبة لذلك؟,complex,ask_return,18,4,{},2,0
114,ما هي سياسة إرجاع الأجهزة الإلكترونية مثل كاميرا سوني ألفا 7 III إذا تم فتح الصندوق ولكن لم يتم استخدامها؟,complex,ask_return,20,6,{},1,0
115,هل يمكنني إرجاع لعبة بلاي ستيشن 5 إذا كانت مغلفة ولكن لا تتوافق مع جهازي، وما هي رسوم الإرجاع؟,complex,ask_return,19,7,{},2,0
116,أريد معرفة سياسة الاستبدال الخاصة بالساعات الذكية مثل هواوي واتش جي تي 4 إذا كان بها عيب مصنعي.,complex,ask_return,18,5,{},1,0
117,ما هي شروط إرجاع سماعة رأس من سوني WH-1000XM5 إذا لم أكن راضياً عن جودة الصوت؟,complex,ask_return,16,6,{},3,0
118,هل يمكن إرجاع تيشيرت رجالي مقاس L بعد غسله مرة واحدة، وما هي الإجراءات لاسترداد المبلغ؟,complex,ask_return,16,4,{},2,0
119,أريد استبدال جهاز التلفزيون الذكي من إل جي 55 بوصة بآخر أكبر حجمًا، هل هذا ممكن وما هي الرسوم؟,complex,ask_return,19,5,{},3,0
120,هل هاتف سامسونج جالكسي S24 ألترا عليه ضمان؟,simple,ask_warranty,8,2,{},1,0
121,كم مدة ضمان لابتوب ديل XPS 15؟,simple,ask_warranty,7,1,{},1,0
122,ما هي شروط ضمان غسالة إل جي؟,simple,ask_warranty,7,2,{},1,0
123,هل ضمان الأجهزة الإلكترونية يشمل سوء الاستخدام؟,simple,ask_warranty,7,1,{},1,0
124,هل يوجد ضمان على ألعاب بلاي ستيشن؟,simple,ask_warranty,7,2,{},1,0
125,ما هي خدمة ما بعد البيع لساعات هواوي الذكية؟,simple,ask_warranty,9,4,{'ما': 2},1,1
126,هل يشمل الضمان استبدال الشاحن اللاسلكي؟,simple,ask_warranty,6,1,{},1,0
127,أريد معرفة تفاصيل الضمان الخاص بكاميرا كانون EOS 2000D.,simple,ask_warranty,9,1,{},1,0
128,كم هي فترة الضمان على سماعات أبل ايربودز برو؟,simple,ask_warranty,9,3,{},1,0
129,هل المنتجات المعروضة كلها عليها ضمان؟,simple,ask_warranty,6,1,{},1,0
130,ما هي فترة الضمان على هاتف شاومي 14 ألترا وهل يشمل الضمان الشاشة في حال الكسر العرضي؟,complex,ask_warranty,17,4,{'الضمان': 2},1,1
131,أريد معرفة شروط الضمان الخاصة بلابتوب أسوس ROG سيفيروس G14 وهل يشمل خدمة الصيانة في المنزل؟,complex,ask_warranty,16,1,{},1,0
132,هل يوجد ضمان على الأجهزة المنزلية الكبيرة مثل ثلاجة سامسونج بابين، وما هي مدة الضمان على الضاغط؟,complex,ask_warranty,17,6,{'على': 2},2,1
133,ما هي سياسة الضمان على التلفزيونات الذكية من إل جي 65 بوصة، وهل يشمل الضمان عيوب التصنيع فقط؟,complex,ask_warranty,18,4,{'الضمان': 2},2,1
134,هل حذاء رياضي نايكي إير ماكس يأتي بضمان ضد عيوب التصنيع، وكم مدة هذا الضمان؟,complex,ask_warranty,15,2,{},2,0
135,أريد معرفة تفاصيل الضمان على سماعات الرأس سوني WH-1000XM5 وهل يمكنني الحصول على خدمة إصلاح مجانية خلال فترة الضمان؟,complex,ask_warranty,19,2,{'على': 2},2,1
136,ما هي شروط الضمان على أجهزة الألعاب مثل نينتندو سويتش وهل يشمل الضمان وحدات التحكم؟,complex,ask_warranty,15,4,{'الضمان': 2},1,1
137,هل كاميرا جوبرو هيرو 12 تأتي بضمان ضد الماء، وما هي مدة الضمان على البطارية؟,complex,ask_warranty,15,4,{},2,0
138,أريد معرفة سياسة الضمان على الساعات الذكية فيتبيت تشارج 6 وهل يشمل الضمان المستشعرات الداخلية؟,complex,ask_warranty,15,1,{'الضمان': 2},1,1
139,ما هي شروط الضمان على أجهزة الراوتر من تي بي لينك وهل يشمل الضمان تحديثات البرامج الثابتة؟,complex,ask_warranty,17,6,{'الضمان': 2},1,1
140,هل هاتف آيفون 15 متوفر باللون الأزرق؟,simple,product_availability,7,1,{},1,0
141,هل لابتوب ديل XPS 13 متوفر حالياً؟,simple,product_availability,7,1,{},2,0
142,هل يوجد فستان سهرة مقاس L؟,simple,product_availability,6,1,{},1,0
143,هل حذاء نايكي إير ماكس متوفر بمقاس 42؟,simple,product_availability,8,1,{},1,0
144,هل غسالة إل جي 8 كيلو متوفرة؟,simple,product_availability,7,1,{},1,0
145,هل لعبة فيفا 24 متوفرة لجهاز بلاي ستيشن 5؟,simple,product_availability,9,1,{},1,0
146,هل ساعة هواوي واتش جي تي 4 متوفرة الآن؟,simple,product_availability,9,2,{},1,0
147,متى ستتوفر سماعة ايربودز برو الجيل الثاني؟,simple,product_availability,7,1,{},1,0
148,هل كاميرا كانون EOS 2000D متوفرة للشراء؟,simple,product_availability,7,2,{},1,0
149,هل شاشة سامسونج 55 بوصة متوفرة في المخزون؟,simple,product_availability,8,2,{},1,0
150,أرغب في معرفة ما إذا كان هاتف سامسونج جالكسي S24 ألترا متوفراً باللون الأخضر وبسعة 512 جيجابايت.,complex,product_availability,17,4,{},2,0
151,هل لابتوب ماك بوك برو M3 بشاشة 16 بوصة متوفر في جميع الألوان، وكم المدة المتوقعة لإعادة التخزين إذا كان غير متوفر؟,complex,product_availability,22,6,{},2,0
152,هل فستان سهرة طويل بلون فضي ومقاس M متوفر حالياً، وهل يمكن حجزه مسبقاً إذا كان غير متوفر؟,complex,product_availability,18,4,{},4,0
153,أريد أن أعرف ما إذا كان حذاء رياضي من بوما للجري باللون الأسود ومقاس 43 متوفراً في المتجر أم عبر الإنترنت فقط.,complex,product_availability,22,7,{},2,0
154,هل فرن كهربائي من بوش سعة 70 لتر متوفر في جميع الفروع، وهل يمكنني معاينته قبل الشراء؟,complex,product_availability,17,5,{},2,0
155,هل لعبة ريزدنت إيفل 4 ريميك متوفرة لجهاز إكس بوكس سيريس X، ومتى يتوقع توفرها إن كانت غير متوفرة؟,complex,product_availability,19,3,{},2,0
156,أريد معرفة توفر شاشة منحنية من سامسونج 27 بوصة، وهل يوجد منها نموذج بلون أبيض؟,complex,product_availability,15,2,{},2,0
157,هل كاميرا نيكون Z6 II متوفرة مع عدسة كيت، وهل يمكنني شراء حزمة كاملة منها؟,complex,product_availability,15,2,{},2,0
158,هل سماعة جيه بي إل فليب 6 متوفرة باللون الأحمر، وهل توجد عروض خاصة عند شرائها بكميات؟,complex,product_availability,17,4,{},2,0
159,أريد أن أعرف ما إذا كان جهاز التلفزيون الذكي من سوني برافيا 65 بوصة متوفراً للتسليم الفوري أو يحتاج إلى طلب مسبق.,complex,product_availability,22,7,{},2,0
160,ما هي مواصفات هاتف آيفون 15 برو ماكس؟,simple,product_specifications,8,2,{},1,0
161,أريد تفاصيل عن لابتوب ديل XPS 15.,simple,product_specifications,7,1,{},1,0
162,ما هي خامات فستان السهرة الأحمر؟,simple,product_specifications,6,2,{},1,0
163,ما هي مميزات حذاء نايكي إير ماكس؟,simple,product_specifications,7,2,{},1,0
164,أريد معرفة مواصفات غسالة إل جي 8 كيلو.,simple,product_specifications,8,0,{},1,0
165,ما هي متطلبات تشغيل لعبة فيفا 24؟,simple,product_specifications,7,2,{},1,0
166,ما هي مواصفات ساعة هواوي واتش جي تي 4؟,simple,product_specifications,9,3,{},1,0
167,أريد معرفة دقة كاميرا كانون EOS 2000D.,simple,product_specifications,7,1,{},1,0
168,ما هي أبعاد شاشة سامسونج 55 بوصة؟,simple,product_specifications,7,2,{},1,0
169,ما هي سعة بطارية سماعة ايربودز برو الجيل الثاني؟,simple,product_specifications,9,2,{},1,0
170,أرغب في معرفة المواصفات الكاملة لهاتف سامسونج جالكسي S24 ألترا، بما في ذلك نوع المعالج وحجم الذاكرة العشوائية ومواصفات الكاميرا الخلفية والأمامية.,complex,product_specifications,22,4,{'في': 2},2,1
171,ما هي المواصفات التقنية للابتوب ماك بوك برو M3 بشاشة 16 بوصة، خصوصاً نوع المعالج وكرت الشاشة وسعة التخزين؟,complex,product_specifications,19,2,{},3,0
172,أريد تفاصيل عن فستان سهرة طويل بلون فضي، مثل نوع القماش والمقاسات المتوفرة وطريقة العناية به.,complex,product_specifications,16,2,{},2,0
173,ما هي المواصفات الفنية لغسالة صحون بوش، بما في ذلك عدد البرامج واستهلاك المياه ومستوى الضوضاء؟,complex,product_specifications,16,5,{},2,0
174,أريد معرفة مميزات حذاء رياضي من بوما للجري باللون الأسود، مثل تقنية التوسيد ونوع النعل الخارجي.,complex,product_specifications,16,2,{},2,0
175,ما هي المواصفات التقنية لكاميرا سوني ألفا 7 III، بما في ذلك عدد الميجابكسل وميزات تصوير الفيديو وقدرات التركيز التلقائي؟,complex,product_specifications,20,5,{},2,0
176,أريد تفاصيل عن شاشة الألعاب أسوس ROG سويفت PG279Q، مثل حجم الشاشة ومعدل التحديث وزمن الاستجابة ونوع اللوحة.,complex,product_specifications,18,2,{},2,0
177,ما هي المواصفات الكاملة لسماعات بوز QuietComfort Ultra، بما في ذلك تقنية إلغاء الضوضاء وعمر البطارية ونوع الاتصال؟,complex,product_specifications,18,5,{},2,0
178,أريد معرفة المواصفات الفنية لجهاز تتبع اللياقة البدنية فيتبيت تشارج 6، مثل دقة تتبع نبضات القلب وميزات تتبع النوم ومقاومة الماء.,complex,product_specifications,21,1,{'تتبع': 3},2,1
179,ما هي المواصفات التقنية لثلاجة إل جي بابين، بما في ذلك سعة التخزين ونظام التبريد وميزات توفير الطاقة؟,complex,product_specifications,18,5,{},2,0
180,هل المتجر مفتوح الآن؟,simple,others,4,1,{},1,0
181,ما هي ساعات عملكم؟,simple,others,4,2,{},1,0
182,أريد التواصل مع خدمة العملاء.,simple,others,5,1,{},1,0
183,ما هي طرق الدفع المتاحة؟,simple,others,5,2,{},1,0
184,هل لديكم فروع أخرى؟,simple,others,4,1,{},1,0
185,كيف يمكنني إنشاء حساب جديد؟,simple,others,5,1,{},1,0
186,أين أجد سياسة الخصوصية؟,simple,others,4,1,{},1,0
187,هل يمكنني إلغاء اشتراكي في الرسائل البريدية؟,simple,others,7,2,{},1,0
188,هل يوجد تطبيق للمتجر؟,simple,others,4,1,{},1,0
189,أريد تغيير كلمة المرور الخاصة بي.,simple,others,6,0,{},1,0
190,ما هي ساعات عمل المتجر خلال شهر رمضان المبارك، وهل تختلف عن الأيام العادية؟,complex,others,14,3,{},2,0
191,أريد معرفة جميع طرق الدفع المتاحة عبر الإنترنت، وهل يمكنني الدفع بالتقسيط لمنتجات معينة مثل الهواتف أو اللابتوبات؟,complex,others,18,3,{'الدفع': 2},2,1
192,هل لديكم فروع في مدن أخرى غير الرياض، وما هي أقرب فروع لكم في المنطقة الغربية؟,complex,others,16,7,"{'فروع': 2, 'في': 2}",2,2
193,أرغب في التواصل مع قسم الشكاوى بخصوص مشكلة واجهتني في عملية شراء جهاز تلفزيون، ما هو الرقم المباشر؟,complex,others,18,5,{'في': 2},2,1
194,كيف يمكنني الاشتراك في النشرة البريدية للحصول على آخر العروض والخصومات على أجهزة الألعاب والملابس؟,complex,others,15,4,{'على': 2},1,1
195,هل يمكنني تعديل معلومات حسابي الشخصي مثل عنوان الشحن ورقم الهاتف، وما هي الخطوات اللازمة لذلك؟,complex,others,16,4,{},2,0
196,ما هي سياسة حماية البيانات والخصوصية لديكم، وهل بياناتي الشخصية آمنة عند التسوق من موقعكم؟,complex,others,15,4,{},2,0
197,أريد معرفة كيفية تقديم شكوى أو اقتراح لتحسين تجربة التسوق في المتجر، وهل يوجد قسم خاص لذلك؟,complex,others,17,2,{},2,0
198,هل تتوفر خدمة التوصيل والتركيب للمنتجات الكبيرة مثل الثلاجات والغسالات في جميع مناطق المملكة؟,complex,others,14,4,{},1,0
199,ما هي الخطوات التي يجب اتباعها إذا نسيت كلمة المرور الخاصة بحسابي وكيف يمكنني استعادتها؟,complex,others,15,4,{},1,0
200,أرغب في البحث عن هاتف شاومي ريدمي نوت 13 برو باللون الأسود.,simple,search_product,12,2,{},1,0
201,دوري على لابتوبات لينوفو يوجا.,simple,search_product,5,1,{},1,0
202,أريد فساتين نسائية صيفية.,simple,search_product,4,0,{},1,0
203,ابغى أحذية كاجوال رجالية.,simple,search_product,4,0,{},1,0
204,اعرض لي مكيفات سبليت من جري.,simple,search_product,6,2,{},1,0
205,فين ألاقي ألعاب نينتندو سويتش؟,simple,search_product,5,0,{},1,0
206,أبحث عن باور بانك سعة كبيرة.,simple,search_product,6,1,{},1,0
207,هل لديكم طابعات إتش بي ليزر؟,simple,search_product,6,2,{},1,0
208,أريد البحث عن كاميرات مراقبة منزلية.,simple,search_product,6,1,{},1,0
209,اعرض لي ساعات كاسيو رجالية.,simple,search_product,5,1,{},1,0
210,أرغب في البحث عن هاتف جوجل بيكسل 8 برو باللون البيج وبسعة 128 جيجابايت.,complex,search_product,14,2,{},1,0
211,هل يمكنني العثور على لابتوب للمصممين من ماركة مايكروسوفت سيرفس بمعالج i7 وذاكرة 16 جيجابايت؟,complex,search_product,15,3,{},1,0
212,أبحث عن بلوزة نسائية أنيقة بلون أزرق فاتح ومقاس M مناسبة للمناسبات الرسمية.,complex,search_product,13,1,{},1,0
213,أريد حذاء رسمي رجالي من تومي هيلفيغر باللون البني الغامق ومقاس 41.,complex,search_product,12,1,{},1,0
214,ابغى تلفزيون ذكي من سوني برافيا حجم 55 بوصة ويدعم تقنية 4K HDR.,complex,search_product,13,1,{},1,0
215,دوري لي على سماعات أذن لاسلكية من جيه بي إل، تكون مناسبة للرياضة ومقاومة للعرق.,complex,search_product,15,4,{},2,0
216,هل لديكم ألعاب استراتيجية لجهاز الكمبيوتر تناسب اللاعبين المحترفين؟,complex,search_product,9,1,{},1,0
217,أريد ساعة ذكية من سامسونج جالكسي واتش 6 تدعم تقنية eSIM ومقاومة للماء.,complex,search_product,13,1,{},1,0
218,ابحث عن مكنسة كهربائية لاسلكية من دايسون، خفيفة الوزن ومناسبة للأرضيات الصلبة.,complex,search_product,12,2,{},2,0
219,أرغب في البحث عن كاميرا مراقبة خارجية من إيزفيز تدعم الرؤية الليلية والتخزين السحابي.,complex,search_product,14,3,{},1,0
